Company;Type;Reg.nr.;PAX;YOM;
FAI rent-a-jet;Global Express;D-AFAO;12;2001;Ultra Long Range
FAI rent-a-jet;Global Express;D-AFAU;11;2000;Ultra Long Range
FAI rent-a-jet;Global Express;D-AUWE;14;2000;Ultra Long Range
Haute Aviation AG;Global Express;HB-JGF;12;2001;Ultra Long Range
Premium Jet AG;Global Express;HB-JGP;13;2008;Ultra Long Range
Flapper Technologies LLC (Operated by Air Jet Taxi Aereo LTDA);Global Express;PR-VDR;14;1999;Ultra Long Range
JetPartner (Operated by Quattro Jet Havacilik Tic As);Global Express;TC-GMM;13;2000;Ultra Long Range
BE AERO HAVACILIK A.Ş;Global Express;TC-KRD;13;2002;Ultra Long Range
ALTUSJET LIMITED (Operated by Avcon Jet Malta Ltd);Global Express XRS;9H-BSH;13;2011;Ultra Long Range
Sentient Jet (Operated by Flexjet Operations Malta LTD);Global Express XRS;9H-GVBJ;12;2007;Ultra Long Range
Skyfirst;Global Express XRS;9H-III;14;2001;Ultra Long Range
Alexjet;Global Express XRS;A6-AFC;10;2009;Ultra Long Range
ACM Air Charter;Global Express XRS;D-ACCC;10;2009;Ultra Long Range
Gestair;Global Express XRS;EC-LEB;14;2009;Ultra Long Range
Gestair;Global Express XRS;EC-MMD;13;2012;Ultra Long Range
Gestair;Global Express XRS;EC-MNH;15;2010;Ultra Long Range
IXAIR;Global Express XRS;F-HXRG;15;2011;Ultra Long Range
Catreus Ltd;Global Express XRS;G-RAJV;12;2006;Ultra Long Range
Over The Lux S.R.L. (Operated by Sirio SpA);Global Express XRS;I-GOAR;10;2011;Ultra Long Range
Global Jet Luxembourg S.A.;Global Express XRS;LX-GOL;10;2010;Ultra Long Range
EAC Group (Operated by Global Jet Luxembourg S.A.);Global Express XRS;LX-JNC;13;2007;Ultra Long Range
Glock Aviation GmbH;Global Express XRS;OE-IGG;13;2010;Ultra Long Range
Goldeck-Flug;Global Express XRS;OE-ISJ;13;2010;Ultra Long Range
Avcon Jet AG;Global Express XRS;OE-LCA;13;2006;Ultra Long Range
Gainjet Aviation S.A.;Global Express XRS;SX-LNS;14;2007;Ultra Long Range
DC Aviation Al Futtaim LLC (Operated by DC AVIATION SAN MARINO S.R.L.);Global Express XRS;T7-ELMIR;13;2009;Ultra Long Range
Triton Aviation Limited (Operated by Empire Aviation San Marino SRL.);Global Express XRS;T7-JAT;13;2009;Ultra Long Range
Avcon Jet AG (Operated by Avcon Jet SRL);Global Express XRS;T7-KVJ;14;2009;Ultra Long Range
Jet Aviation Business Jets, Ltd. (Hong Kong) (Operated by Jet Aviation Business Jets San Marino);Global Express XRS;T7-SKL;13;2010;Ultra Long Range
Bonair;Global Express XRS;TC-ACN;13;2009;Ultra Long Range
Bikinijet (Operated by BKNJET HAVACILIK A.Ş.);Global Express XRS;TC-DDD;14;2010;Ultra Long Range
AFIJET HAVACILIK LİMİTED (Operated by Genel Havacilik A.S.);Global Express XRS;TC-TSS;13;2009;Ultra Long Range
Union Aviation;Global Express XRS;YL-DAM;13;2007;Ultra Long Range
Union Aviation;Global Express XRS;YL-VCR;12;2003;Ultra Long Range
Shino Aviation (Operated by G.A.D. FLIGHTS LTD);Gulfstream G-200;4X-CNL;11;2003;Super Midsize Jet
Global Jet Luxembourg S.A. (Operated by Global Jet Austria GmbH);Gulfstream G-200;EC-KBC;9;2007;Super Midsize Jet
Executive Jet Management Europe;Gulfstream G-200;ECKRN;9;2008;Super Midsize Jet
MJet GmbH;Gulfstream G-200;OE-HAL;10;2009;Super Midsize Jet
MJet GmbH;Gulfstream G-200;OE-HGS;10;2009;Super Midsize Jet
MJet GmbH;Gulfstream G-200;OE-HMF;9;2010;Super Midsize Jet
Avcon Jet AG;Gulfstream G-200;OE-HTI;9;2003;Super Midsize Jet
JoinJet A/S;Gulfstream G-200;OY-IUV;9;2002;Super Midsize Jet
Midline Aviation Services Br.Midline Investments L.L.C (Operated by Titan Aviation San Marino S.R.L.);Gulfstream G-200;T7-MIDA;9;2011;Super Midsize Jet
MY JET S.R.L.;Gulfstream G-200;YR-DSR;10;2009;Super Midsize Jet
Executive Jet Management Europe;Gulfstream G-280;CSVLZ;6;2018;Super Midsize Jet
DC Aviation Group;Gulfstream G-280;D-BDRX;9;2023;Super Midsize Jet
Alpine Sky Jets Ltd. (Operated by Alpine Flightservice);Gulfstream G-280;OE-HWM;9;2017;Super Midsize Jet
Eclair s.r.o.;Gulfstream G-280;OKGTX;10;2023;Super Midsize Jet
AMC Aviation;Gulfstream G-280;SP-NVM;9;2016;Super Midsize Jet
Baires Fly S.A;Gulfstream G-400;LV-JQW;13;2004;Heavy Jet
FLYZAR;Gulfstream G-400;LV-SYG;14;2004;Heavy Jet
CKD Aviation;Gulfstream G-400;TCTOZ;14;2004;Heavy Jet
Gestair Aviation Malta;Gulfstream G-450;9H-AMO;13;2005;Heavy Jet
ElitAvia Malta Ltd.;Gulfstream G-450;9H-JVA;13;2013;Heavy Jet
Alexjet (Operated by Falcon Aviation Services);Gulfstream G-450;A6-FLH;14;2009;Heavy Jet
Rotana Jet;Gulfstream G-450;A6-ORX;14;2008;Heavy Jet
ACASS (Operated by ACASS Ireland Limited);Gulfstream G-450;EJ-SCOT;9;2008;Heavy Jet
Jet Concierge Club (Operated by Concierge U Limited);Gulfstream G-450;G-TAYC;14;2006;Heavy Jet
Gojet247 (Operated by EMES AIR SOCIEDAD ANÓNIMA);Gulfstream G-450;LV-KEB;14;2008;Heavy Jet
SkyMark Executive FZCO;Gulfstream G-450;P4-ICON;16;2008;Heavy Jet
UpStar Aviation;Gulfstream G-450;PR-GFT;14;2010;Heavy Jet
SkyMark Executive FZCO;Gulfstream G-450;T7-LJA;14;2013;Heavy Jet
Midline Aviation Services Br.Midline Investments L.L.C (Operated by Titan Aviation San Marino S.R.L.);Gulfstream G-450;T7-MID;13;2013;Heavy Jet
YDA Havacılık (Operated by Vizyon Havacılık Sanayi ve Ticaret Anonim Şirketi);Gulfstream G-450;TC-ATM;16;2008;Heavy Jet
Vatanjet Aviation Inc. (Operated by REC HAVACILIK TAŞIMACILIK TURİZM VE TİCARET A.Ş);Gulfstream G-450;TC-REC;16;2012;Heavy Jet
Vatanjet Aviation Inc.;Gulfstream G-450;TC-VTN;14;2011;Heavy Jet
SPARFELL Airways SA (Operated by Sparfell Luxembourg S.A.);Gulfstream G-500;LX-NJC;14;2025;Ultra Long Range
SPARFELL Airways SA (Operated by SPARFELL Luftfahrt GmbH);Gulfstream G-500;OE-IDZ;12;2025;Ultra Long Range
Jet Aviation Business Jets AG (Operated by Bairline Fluggesellschaft mbH & Co KG);Gulfstream G-500;OE-LUB;13;2020;Ultra Long Range
Alpine Sky Jets Ltd. (Operated by MJet GmbH);Gulfstream G-500;OE-LVA;13;2020;Ultra Long Range
Gestair;Gulfstream G-550;EC-MRL;18;2017;Ultra Long Range
Welojets Air Mobility SL (Operated by Gestair);Gulfstream G-550;EC-OFG;14;2013;Ultra Long Range
Gainjet Aviation S.A. (Operated by GAIN JET IRELAND LIMITED);Gulfstream G-550;EI-LSY;14;2012;Ultra Long Range
Jet Concierge Club (Operated by Concierge U Limited);Gulfstream G-550;G-LSCW;14;2014;Ultra Long Range
Jet Aviation Business Jets AG;Gulfstream G-550;HB-JAZ;8;2019;Ultra Long Range
Pacific Ocean S.A;Gulfstream G-550;LV-KLB;12;2011;Ultra Long Range
Global Jet Luxembourg S.A.;Gulfstream G-550;LX-JNE;10;2013;Ultra Long Range
Luxaviation (Operated by Luxaviation Luxembourg);Gulfstream G-550;LX-MCE;14;2013;Ultra Long Range
Jet Aviation Business Jets AG (Operated by Skyside GmbH);Gulfstream G-550;OE-IKG;14;2010;Ultra Long Range
GJET S.R.L.;Gulfstream G-550;T7-AWK;14;2011;Ultra Long Range
Jet Aviation Business Jets, Ltd. (Hong Kong) (Operated by Jet Aviation Business Jets San Marino);Gulfstream G-550;T7-OKS;14;2015;Ultra Long Range
Alfa Jet;Gulfstream G-550;TC-JUN;14;2007;Ultra Long Range
Vatanjet Aviation Inc.;Gulfstream G-550;TC-VTJ;14;2015;Ultra Long Range
Global Jet Luxembourg S.A.;Gulfstream G-600;LX-TTS;5;2024;Ultra Long Range
Empire Aviation Group (Operated by Empire Aviation San Marino SRL.);Gulfstream G-600;T7-RAVI;13;2025;Ultra Long Range
SkyMark Executive FZCO;Gulfstream G-600;T7-SME;14;2019;Ultra Long Range
Avcon Jet AG (Operated by Avcon Jet Malta Ltd);Gulfstream G-650;9H-SBS;10;2013;Ultra Long Range
Gainjet Aviation S.A.;Gulfstream G-650;EI-LSN;16;2014;Ultra Long Range
MJet GmbH;Gulfstream G-650;OE-IRR;10;2015;Ultra Long Range
Jet Story;Gulfstream G-650;SP-TOP;14;2015;Ultra Long Range
Air Charter Service - Dubai (Operated by SybaJet San Marino SRL);Gulfstream G-650;T7-DXB;16;2016;Ultra Long Range
DC Aviation Al Futtaim LLC (Operated by DC AVIATION SAN MARINO S.R.L.);Gulfstream G-650;T7-TBC;15;2016;Ultra Long Range
Sentient Jet (Operated by Flexjet Operations Malta LTD);Gulfstream G-650ER;9H-649FX;12;2015;Ultra Long Range
Qatar Executive;Gulfstream G-650ER;A7-CGA;13;2015;Ultra Long Range
Qatar Executive;Gulfstream G-650ER;A7-CGB;13;2016;Ultra Long Range
Qatar Executive;Gulfstream G-650ER;A7-CGC;13;2016;Ultra Long Range
Qatar Executive;Gulfstream G-650ER;A7-CGD;13;2017;Ultra Long Range
Qatar Executive;Gulfstream G-650ER;A7-CGE;13;2018;Ultra Long Range
Qatar Executive;Gulfstream G-650ER;A7-CGF;10;2019;Ultra Long Range
Qatar Executive;Gulfstream G-650ER;A7-CGG;13;2019;Ultra Long Range
Qatar Executive;Gulfstream G-650ER;A7-CGH;13;2021;Ultra Long Range
Qatar Executive;Gulfstream G-650ER;A7-CGI;13;2021;Ultra Long Range
Qatar Executive;Gulfstream G-650ER;A7-CGJ;13;2021;Ultra Long Range
Qatar Executive;Gulfstream G-650ER;A7-CGL;13;2021;Ultra Long Range
Qatar Executive;Gulfstream G-650ER;A7-CGM;13;2021;Ultra Long Range
Qatar Executive;Gulfstream G-650ER;A7-CGN;10;2022;Ultra Long Range
Qatar Executive;Gulfstream G-650ER;A7-CGO;10;2022;Ultra Long Range
Qatar Executive;Gulfstream G-650ER;A7-CGU;10;2022;Ultra Long Range
DC Aviation Group;Gulfstream G-650ER;D-AIRI;13;2024;Ultra Long Range
Nomad Aviation AG;Gulfstream G-650ER;HB-JLO;14;2023;Ultra Long Range
Global Jet Luxembourg S.A.;Gulfstream G-650ER;LX-ESO;10;2019;Ultra Long Range
Global Jet Luxembourg S.A.;Gulfstream G-650ER;LX-ICE;12;2021;Ultra Long Range
Global Jet Luxembourg S.A.;Gulfstream G-650ER;LX-JLK;12;2022;Ultra Long Range
SPARFELL Airways SA (Operated by SPARFELL Luftfahrt GmbH);Gulfstream G-650ER;OE-LTF;13;2018;Ultra Long Range
Jet Aviation Business Jets, Ltd. (Hong Kong) (Operated by Jet Aviation Business Jets San Marino);Gulfstream G-650ER;T7-333;14;2018;Ultra Long Range
Qatar Executive;Gulfstream G-700;A7-CHA;13;2023;Ultra Long Range
Qatar Executive;Gulfstream G-700;A7-CHB;13;2023;Ultra Long Range
Qatar Executive;Gulfstream G-700;A7-CHC;13;2023;Ultra Long Range
Qatar Executive;Gulfstream G-700;A7-CHD;13;2023;Ultra Long Range
Qatar Executive;Gulfstream G-700;A7-CHE;13;2024;Ultra Long Range
Qatar Executive;Gulfstream G-700;A7-CHF;13;2024;Ultra Long Range
Qatar Executive;Gulfstream G-700;A7-CHG;13;2024;Ultra Long Range
Qatar Executive;Gulfstream G-700;A7-CHH;13;2024;Ultra Long Range
Qatar Executive;Gulfstream G-700;A7-CHJ;13;2025;Ultra Long Range
Gestair;Gulfstream G-700;EC-ORR;16;2026;Ultra Long Range
Blackbird Air  A/S;Gulfstream G-700;OY-BBM;19;2024;Ultra Long Range
Jet Story;Gulfstream G-700;SP-NEW;17;2025;Ultra Long Range
AXIS Aviation AG;Gulfstream G-700;T7-MINT;15;2024;Ultra Long Range
Swan Aviation;Gulfstream G-700;TC-MAA;18;2025;Ultra Long Range
CKD Aviation;Gulfstream G-IV;TC-CFD;14;1999;Heavy Jet
SARVON HAVACILIK VE TAŞIMACILIK A.S. (Operated by Genel Havacilik A.S.);Gulfstream G-IV;TC-SVN;14;2001;Heavy Jet
Bikinijet (Operated by BKNJET HAVACILIK A.Ş.);Gulfstream G-IVSP;TC-AHL;14;1996;Heavy Jet
SIERRA HAVACILIK ANONIM SIRKETI;Gulfstream G-IVSP;TC-AKB;14;2000;Heavy Jet
FANTOM HAVACILIK A.S. (Operated by Jet Globe);Gulfstream G-IVSP;TC-DMR;13;2002;Heavy Jet
SIERRA HAVACILIK ANONIM SIRKETI;Gulfstream G-IVSP;TC-EMR;14;2002;Heavy Jet
FERLINE HAVACILIK ULASIM LTD STI. (Operated by Genel Havacilik A.S.);Gulfstream G-IVSP;TC-GKL;13;2002;Heavy Jet
Azra Jet;Gulfstream G-IVSP;TC-GVB;16;1988;Heavy Jet
Alfa Jet;Gulfstream G-IVSP;TC-MAY;13;2000;Heavy Jet
Plures;Gulfstream G-IVSP;TC-STN;13;2001;Heavy Jet
Baires Fly S.A;Gulfstream G-V;LV-KAX;14;1997;Heavy Jet
FLYZAR;Gulfstream G-V;LV-KLH;15;2002;Heavy Jet
FLYZAR;Gulfstream G-V;LV-VEG;14;2000;Heavy Jet
Swiss ACM (Operated by International Jet Management GmbH);Gulfstream G-V;OE-IIS;12;2000;Heavy Jet
SkyMark Executive FZCO;Gulfstream G-V;T7-VVV;14;2000;Heavy Jet
ABjet srl (Operated by Slam Lavori Aerei S.r.l.);Hawker 400 A;I-AERB;8;1993;Light Jet
JetBee Czech s.r.o.;Hawker 400 A;OK-BZZ;8;2008;Light Jet
CKD Aviation;Hawker 400 A;TCCKD;8;2001;Light Jet
JetBee Czech s.r.o.;Hawker 4000;OK-BFF;8;2012;Light Jet
JoinJet A/S;Hawker 4000;OY-JJS;8;2011;Light Jet
FCM JETS Group Ltd (Operated by Fly-Coop Ltd.);Hawker 400XP;HA-LUA;7;2005;Light Jet
FCM JETS Group Ltd (Operated by Fly-Coop Ltd.);Hawker 400XP;HA-YFH;7;2007;Light Jet
Topjet Executive (Operated by Aliserio s.r.l.);Hawker 400XP;I-JSET;7;1996;Light Jet
Topjet Executive (Operated by Aliserio s.r.l.);Hawker 400XP;I-TOPF;7;1997;Light Jet
Topjet Executive (Operated by Aliserio s.r.l.);Hawker 400XP;I-TOPX;7;2008;Light Jet
Black Táxi Aéreo;Hawker 400XP;PS-FLP;8;2000;Light Jet
Smart Jet Sp z o.o.;Hawker 400XP;SP-ATT;7;2006;Light Jet
Smart Jet Sp z o.o.;Hawker 400XP;SP-EAK;7;2007;Light Jet
Smart Jet Sp z o.o.;Hawker 400XP;SP-OOK;7;2007;Light Jet
Smart Jet Sp z o.o.;Hawker 400XP;SP-TTA;7;2010;Light Jet
Jet Story;Hawker 750;SP-CEO;8;2010;Midsize Jet
SOZJET HAVACILIK ANONİM ŞİRKETİ;Hawker 750;TC-FBC;7;2009;Midsize Jet
MATRIX AVIATION AND CONSULTANCY LL-FZ (Operated by Genel Havacilik A.S.);Hawker 750;TC-ISL;8;2008;Midsize Jet
Aras Air Global Havacilik A.S (Operated by Genel Havacilik A.S.);Hawker 750;TC-ORK;8;2008;Midsize Jet
Bonair;Hawker 750;TC-TCB;8;2008;Midsize Jet
Exxaero Fleet B.V. (Operated by Exxaero GmbH);Hawker 750 XP;D-CETB;8;2009;Midsize Jet
Topjet Executive (Operated by Aliserio s.r.l.);Hawker 750 XP;I-EPAM;8;2009;Midsize Jet
Arrow Aviation Ltd.;Hawker 800XP;4X-CNZ;9;2001;Midsize Jet
Arrow Aviation Ltd.;Hawker 800XP;4X-CUZ;9;2002;Midsize Jet
Arrow Aviation Ltd.;Hawker 800XP;4X-CZF;9;1999;Midsize Jet
VALLJET;Hawker 800XP;F-HPUR;8;2003;Midsize Jet
Topjet Executive (Operated by Aliserio s.r.l.);Hawker 800XP;I-KREM;8;2003;Midsize Jet
Topjet Executive (Operated by Aliserio s.r.l.);Hawker 800XP;I-LOSO;8;2004;Midsize Jet
Arab Wings;Hawker 800XP;JY-AWD;8;2002;Midsize Jet
AERONAUTICA SA;Hawker 800XP;LV-IWV;9;1997;Midsize Jet
Charter Jets;Hawker 800XP;LY-HCW;8;1999;Midsize Jet
Charter Jets;Hawker 800XP;LY-LTA;6;2006;Midsize Jet
SKYPRO CHARTERS LIMITED (Operated by AXIS Aviation AG);Hawker 800XP;T7-MAX;8;2005;Midsize Jet
MC HAVACILIK;Hawker 800XP;TC-ACA;8;2000;Midsize Jet
Point Jet Aviation (Operated by MC Havacilik A.S);Hawker 800XP;TC-LEV;8;2000;Midsize Jet
EB HAVACILIK HİZMETLERİ A.Ş (Operated by Genel Havacilik A.S.);Hawker 800XP;TC-NYK;8;2004;Midsize Jet
Star Fly Havacilik A.S (Operated by Genel Havacilik A.S.);Hawker 800XP;TC-STR;8;2007;Midsize Jet
VOLUXIS;Hawker 850XP;G-TZBW;8;2006;Midsize Jet
Topjet Executive (Operated by Aliserio s.r.l.);Hawker 850XP;I-TOPH;8;2006;Midsize Jet
CEOJETSET (Operated by PT. Jet Eksekutif Travya (JETSET));Hawker 850XP;PK-CEO;9;2006;Midsize Jet
Hongkong Jet (Operated by SONIC AIR SAN MARINO S.R.L.);Hawker 850XP;T7HKJ;8;2007;Midsize Jet
Point Jet Aviation (Operated by Genel Havacilik A.S.);Hawker 850XP;TC-KRA;8;2006;Midsize Jet
Alfa Jet;Hawker 850XP;TC-MTS;8;2007;Midsize Jet
ANT Aircraft Services Inc (Operated by Bonair);Hawker 850XP;TC-SHE;8;2007;Midsize Jet
Mira Aviation (Operated by Bonair);Hawker 850XP;TC-TIM;8;2006;Midsize Jet
Jet Asia Management (Operated by Pt. Indonesia Air Transport);Hawker 900 XP;PK-JAM;8;2011;Midsize Jet
AFIJET HAVACILIK LİMİTED (Operated by Genel Havacilik A.S.);Hawker 900 XP;TC-DIO;9;2009;Midsize Jet
Gayo Aviation (Operated by Genel Havacilik A.S.);Hawker 900 XP;TC-GAE;8;2009;Midsize Jet
VALLJET;Hawker 900XP;F-HFCS;8;2008;Midsize Jet
AIRLEC AIR ESPACE;Hawker 900XP;F-HICU;8;2009;Midsize Jet
VALLJET;Hawker 900XP;F-HPHX;8;2011;Midsize Jet
Slam Lavori Aerei S.r.l.;Hawker 900XP;I-FLDR;9;2010;Midsize Jet
Asia Corporate Jet SEZC (Operated by PT ALTIUS BAHARI INDONESIA);Hawker 900XP;PK-DJV;8;2009;Midsize Jet
Grafair Flight Management AB;Hawker 900XP;SE-RIE;8;2011;Midsize Jet
Grafair Flight Management AB;Hawker 900XP;SE-RLZ;8;2009;Midsize Jet
Luxaviation (Operated by Luxaviation San Marino S.R.L.);Hawker 900XP;T7-EMI;8;2007;Midsize Jet
ProAir-Charter-Transport GmbH (Operated by ProAir Aviation GmbH);HondaJet;D-IHER;4;2018;Entry Level Jet
AstraJet Ltd (Operated by Bookajet);HondaJet;G-FHJT;5;2016;Entry Level Jet
Bookajet;HondaJet;G-HJUK;5;2017;Entry Level Jet
SalzburgJetAviation GmbH;HondaJet;OE-FUA;5;2018;Entry Level Jet
Lider Taxi Aereo S/A - Air Brasil;HondaJet;PP-BRU;6;2019;Entry Level Jet
Vizion Air (Operated by FLYINGGROUP);HondaJet Elite;F-HFOO;4;2019;Entry Level Jet
MY JET S.R.L.;HondaJet Elite;YR-WHO;5;2017;Entry Level Jet
Lenti Aviation GmbH (Operated by Flexflight);HondaJet Elite II;D-IVVV;5;2023;Entry Level Jet
Flexflight;HondaJet Elite II;OY-ERS;5;2024;Entry Level Jet
AstraJet Ltd (Operated by Bookajet);HondaJet Elite S;G-FHJS;5;2019;Entry Level Jet
South American Jets LLC (Operated by GRUPO IMAS S.A);Learjet 31;LV-JWC;8;1999;Light Jet
BATBAIK S.A.;Learjet 31A;LV-BTF;7;1995;Light Jet
Pacific Ocean S.A;Learjet 31A;LV-CNQ;7;1988;Light Jet
Baires Fly S.A;Learjet 35;LV-IYQ;7;1975;Light Jet
PHS - Premium Aviation and Handling Services, Soc. U.P. Lda;Learjet 40;CS-DHX;7;2005;Light Jet
ASL;Learjet 40;OO-HRG;6;2006;Light Jet
ASL;Learjet 40;OO-JGK;6;2007;Light Jet
FLYZAR;Learjet 40XR;LV-CJY;7;2008;Light Jet
JetEurope Executive S.r.l. (Operated by Avionord Srl);Learjet 45;I-AVND;9;2000;Light Jet
Amelia (Operated by Amelia International);Learjet 45;OE-GRD;9;2005;Light Jet
Flapper Technologies LLC (Operated by Air Jet Taxi Aereo LTDA);Learjet 45;PS-PVS;9;2008;Light Jet
Jet Assist Ltd (Operated by 247 Aviation Limited);Learjet 45XR;G-EMCY;9;2011;Light Jet
Opul Jets S.L (Operated by SaxonAir);Learjet 45XR;G-OSRL;7;2009;Light Jet
Jet Assist Ltd (Operated by 247 Aviation Limited);Learjet 45XR;G-SOVB;9;2003;Light Jet
SunDown Jet S.A.;Learjet 45XR;LV-JZQ;9;2007;Light Jet
European Air Ambulance;Learjet 45XR;LX-EAA;4;2007;Light Jet
European Air Ambulance;Learjet 45XR;LX-RSQ;4;2009;Light Jet
European Air Ambulance;Learjet 45XR;LX-TWO;4;2008;Light Jet
FAI Ambulance (Operated by FAI rent-a-jet);Learjet 60;D-CFAZ;7;1997;Midsize Jet
FAI Ambulance (Operated by FAI rent-a-jet);Learjet 60;D-CITA;7;1997;Midsize Jet
FAI Ambulance (Operated by FAI rent-a-jet);Learjet 60;D-CNUE;8;1983;Midsize Jet
FAI Ambulance (Operated by FAI rent-a-jet);Learjet 60;D-CPMU;8;1994;Midsize Jet
ICS-AERO (Operated by PANAVIATIC AS);Learjet 60;ES-PVN;7;2007;Midsize Jet
Baires Fly S.A;Learjet 60;LV-CCO;8;1994;Midsize Jet
Pacific Ocean S.A;Learjet 60;LV-CPC;8;1995;Midsize Jet
Baires Fly S.A;Learjet 60;LV-CPL;8;1994;Midsize Jet
FLYZAR;Learjet 60;LV-CUE;8;2000;Midsize Jet
Baires Fly S.A;Learjet 60;LV-FUF;8;2001;Midsize Jet
FLYZAR;Learjet 60;LV-FUT;7;2005;Midsize Jet
Baires Fly S.A;Learjet 60;LV-FVZ;8;2004;Midsize Jet
FLYZAR;Learjet 60;LV-GCK;8;1996;Midsize Jet
South American Jets LLC (Operated by GRUPO IMAS S.A);Learjet 60;LV-GVT;8;2004;Midsize Jet
FAI rent-a-jet;Learjet 60XR;D-CFAQ;6;2006;Midsize Jet
AMC Aviation;Learjet 60XR;SP-AMG;6;2008;Midsize Jet
AMC Aviation;Learjet 60XR;SP-CEZ;6;2008;Midsize Jet
AMC Aviation;Learjet 60XR;SP-MSI;6;2007;Midsize Jet
AMC Aviation;Learjet 60XR;SP-OVO;6;2008;Midsize Jet
ORTAC (AOC) LIMITED;Learjet 75;2-ONEL;9;2016;Midsize Jet
Avcon Jet AG;Learjet 75;OE-GLY;8;2018;Midsize Jet
Eclair s.r.o.;Learjet 75;OKMBS;7;2017;Midsize Jet
UpStar Aviation;Learjet 75;PR-HVD;8;2014;Midsize Jet
ASL;Legacy 450;OO-NEY;8;2016;Super Midsize Jet
Sentient Jet (Operated by Flexjet Operations Malta LTD);Legacy 500;9H-AFX;9;2015;Super Midsize Jet
Luxaviation Malta Ltd.;Legacy 500;9H-LPZ;8;2017;Super Midsize Jet
PAD Aviation Service;Legacy 500;D-BABE;8;2015;Super Midsize Jet
VOLUXIS;Legacy 500;G-HAPA;9;2018;Super Midsize Jet
Air Charter Scotland;Legacy 500;G-WLKR;7;2018;Super Midsize Jet
Cedar Executive (Operated by Middle East Airlines);Legacy 500;OD-CXJ;10;2016;Super Midsize Jet
Cedar Executive;Legacy 500;OD-CXL;10;2017;Super Midsize Jet
SPARFELL Luftfahrt GmbH;Legacy 500;OE-HPC;7;2018;Super Midsize Jet
Scanwings;Legacy 500;OH-TFG;9;2017;Super Midsize Jet
FLYINGGROUP;Legacy 500;OO-CYN;9;2018;Super Midsize Jet
ASL;Legacy 500;PH-LGD;10;2015;Super Midsize Jet
Air X;Legacy 600;9H-IMP;13;2004;Heavy Jet
Air X;Legacy 600;9H-ISLA;13;2002;Heavy Jet
Air X;Legacy 600;9H-JPC;13;2007;Heavy Jet
Vista (Operated by VistaJet Ltd);Legacy 600;9H-VEB;13;2009;Heavy Jet
Air X;Legacy 600;9H-WFC;13;2007;Heavy Jet
Vista (Operated by VistaJet GmbH);Legacy 600;D-AERO;13;2015;Heavy Jet
VALLJET (Operated by Thalair);Legacy 600;F-HFKD;13;2005;Heavy Jet
VALLJET (Operated by Thalair);Legacy 600;F-HGSA;13;2008;Heavy Jet
VALLJET (Operated by Thalair);Legacy 600;F-HJMA;13;2005;Heavy Jet
Luxaviation (Operated by London Executive Aviation);Legacy 600;G-KGKG;13;2008;Heavy Jet
MJet GmbH;Legacy 600;OE-IOI;10;2006;Heavy Jet
SIDUS AVIATION GMBH (Operated by Jetology);Legacy 600;OE-LOW;13;2006;Heavy Jet
ASL (Operated by JetNetherlands BV);Legacy 600;PH-JRC;13;2007;Heavy Jet
Fox Aviation d.o.o.;Legacy 600;S5-BTC;13;2010;Heavy Jet
Fox Aviation d.o.o.;Legacy 600;S5-VIK;13;2007;Heavy Jet
IVORY JET SERVICES;Legacy 600;T7-NTT;13;2007;Heavy Jet
Jet Globe;Legacy 600;TC-SMY;13;2007;Heavy Jet
Union Aviation;Legacy 600;YL-ARE;13;2008;Heavy Jet
Toyo Aviation;Legacy 600;YR-TRO;13;2009;Heavy Jet
FLY MY SKY DOO BEOGRAD;Legacy 600;YU-PEE;13;2007;Heavy Jet
Vista (Operated by VistaJet Ltd);Legacy 650;9H-VEA;12;2015;Heavy Jet
Alexjet (Operated by Falcon Aviation Services);Legacy 650;A6-AFO;14;2011;Heavy Jet
Empire Aviation Group;Legacy 650;A6-HAS;13;2015;Heavy Jet
Vista (Operated by VistaJet GmbH);Legacy 650;D-AAHO;13;2011;Heavy Jet
Vista (Operated by VistaJet GmbH);Legacy 650;D-AFBS;13;2015;Heavy Jet
Vista (Operated by VistaJet GmbH);Legacy 650;D-AHOI;13;2015;Heavy Jet
Vista (Operated by VistaJet GmbH);Legacy 650;D-AHOS;13;2015;Heavy Jet
Vista (Operated by VistaJet GmbH);Legacy 650;D-AIRG;13;2018;Heavy Jet
Vista (Operated by VistaJet GmbH);Legacy 650;D-AIRZ;13;2019;Heavy Jet
Vista (Operated by VistaJet GmbH);Legacy 650;D-AJET;13;2017;Heavy Jet
Vista (Operated by VistaJet GmbH);Legacy 650;D-ANCE;13;2020;Heavy Jet
Vista (Operated by VistaJet GmbH);Legacy 650;D-ANXA;13;2012;Heavy Jet
Vista (Operated by VistaJet GmbH);Legacy 650;D-AOTE;13;2014;Heavy Jet
Vista (Operated by VistaJet GmbH);Legacy 650;D-ASAP;13;2017;Heavy Jet
Vista (Operated by VistaJet GmbH);Legacy 650;D-ATOP;13;2018;Heavy Jet
Vista (Operated by VistaJet GmbH);Legacy 650;D-AWIN;13;2018;Heavy Jet
Vista (Operated by VistaJet GmbH);Legacy 650;D-AZUR;13;2016;Heavy Jet
VALLJET (Operated by Thalair);Legacy 650;F-HSTB;13;2012;Heavy Jet
Air Charter Scotland;Legacy 650;G-SUGR;13;2014;Heavy Jet
Arab Wings;Legacy 650;JY-CII;13;2011;Heavy Jet
Luxaviation (Operated by Luxaviation Luxembourg);Legacy 650;LX-TRO;13;2011;Heavy Jet
